fold,accuracy,f1,precision,recall
0,98.84057971014492,98.84376311291891,98.85280834937585,98.84057971014492
1,98.26086956521739,98.27117630389455,98.3468501964439,98.26086956521739
2,97.678916827853,97.6838149242209,97.83092032421091,97.678916827853
3,98.8394584139265,98.83992569362393,98.85008217876192,98.8394584139265
4,98.93617021276596,98.92893298408117,98.93479614245156,98.93617021276596
