Model,Accuracy (%),F1-Score (%),Precision (%),Recall (%)
EfficientNetV2-S,98.45 ± 0.36,98.45 ± 0.35,98.52 ± 0.31,98.45 ± 0.36
Swin Transformer,98.51 ± 0.54,98.51 ± 0.53,98.56 ± 0.47,98.51 ± 0.54
